"



马牛逼晚上直播饿了都只能自己炒饭吃（滑稽）
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,Scutumhy
"



大京除了定妆照，什么时候都好看
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,秦歌Q
"



引用445楼 @Ms_Pice 发表的:二队的编制取消 那二队的人又有什么新的安排剩下队员会加入一队，对位轮换
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



大哥加油！avdang永不言弃！
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,科比别走行吗
"



大哥，加油💪
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,SilentBT
"



老板兼选手不容易，希望整理好心情，再创辉煌！




",各位JRs们，我艾普拉斯又回来了,Kane-nash
"



引用451楼 @往事秋刀鱼 发表的:还有个问题，会根据教练制定训练计划去训练吗？我觉得有时候训练的很漫无目的。会zszszszszszs
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,APLUSV4BLE
"



av永不解散（狗头）
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,黑澤冥
"



@APLUSV4BLE 管理、挖掘人才 上面多和龙神他们讨论讨论，互相进步。毕竟你们2个俱乐部的构成差不多，有一些共同点。




",各位JRs们，我艾普拉斯又回来了,遍地的青苔
"



希望把混子VK调离战队，让他专心直播。至于为什么，相信大哥也清楚了




",各位JRs们，我艾普拉斯又回来了,ifty逗妇乳
"



昨天有位管理方面的人，想要在ifty试试，昨天发帖了，很多人推荐。avdang，能帮就这么多。大哥加油💪https://bbs.hupu.com/22481100.html?share_from=kqapp
发自虎扑iPhone客户端



",各位JRs们，我艾普拉斯又回来了,北疆少年情眷南
"



希望就俱乐部诸事做一次全盘审查重新规划好框架规范管理，让制度决定奖惩和人员去留特别希望主力一队能高度职业化上下班打卡，做好数据统计，高淘汰，严管理，打造一支虎狼之师最后说一句，比赛哪怕一直崩下去，也要保持乐观的精神，这样才能让你自己以及关心你的粉丝看到希望




",各位JRs们，我艾普拉斯又回来了,春秋不义刀
"



。。你们想的真多啊，还500w，有俱乐部能出100w就已经算很多很多很多了




",转会期 终于要来了吧  身价大猜想,sunday9527
"



引用69楼 @雷孟祥 发表的:孤存签约签的好多？龙妈捡来的……孤少的要求是要一床被子……
发自虎扑iPhone客户端



",转会期 终于要来了吧  身价大猜想,Xiaxiaxia9
"



各位都想多了，211这个人实力毋庸置疑，但是为人处世要打个？（实话实说，211的粉丝别喷我，我不是黑他，为人处世不是说他人品问题。）他在队伍里是要拿话语权的，就跟NBA球队一样，每个球队就一两个明星选手，当家球星。你搞来一大堆球星不一定其他1+1>2的效果，然后说没有买不到的人只是钱有没有到位，这话也对也不对，就现在绝地的价值，你一个明星队员花几百万上千万买过来，俱乐部不是这么运营的。这个是不正常的，绝地求生的价值没有这么高，跟LOL没法比的。




",转会期 终于要来了吧  身价大猜想,wy4244
"



我XQ不服。
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,麦咭sir
"



笑容:你是不是对颜值有什么误解？？？
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,Ahler
"



Fga颜值碾压！新来的小豪有点像土鸡，愣愣的，不愧是土鸡的朋友，还有替补队员Fga mer 绝地一枝花！
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,Polarisleo
"



我4阿妹颜值一队表示不服
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,我是波尔津吉斯
"



引用27楼 @果酱呀 发表的:那当然是我土鸡最帅了，有不服的吗？土鸡：有人说我帅？反正我个人是觉得大京是17最帅的
[ 此帖被生德韦大在2018-05-31 11:45修改 ]
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,生德韦大
"



引用48楼 @亦念的光泽 发表的:布谷鸟，掏鸡窝也挺帅的好吧布谷鸟帅，很清新的感觉，而且声音贼好听，绝地第一声优不过分吧
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,是小谢SAMA
"



我觉得XQ才是绝地颜值牌的黄埔军校
发自手机虎扑 m.hupu.com



",17战队是绝地颜值最高，身材最好的战队吧？,faker的电竞梦
"



我觉得没毛病
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,呵小饼干
"



错了FGA才是最帅的，阿聪小文2大帅哥。
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,失眠暴力熊
"



引用19楼 @亦念的光泽 发表的:我感觉老干爹是颜值最高的战队。还有这个紫阳，好像是cdec（老干爹二队）的
发自虎扑Android客户端



",17战队是绝地颜值最高，身材最好的战队吧？,亦念的光泽
"



我FGA不服，A姓男子、骚文不给你整的明明白白的。
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,mango绵绵冰
"



引用3楼 @我是波尔津吉斯 发表的:我4阿妹颜值一队表示不服论颜值 孤存是不应该来pcpi的
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,裴秀智圈外小男友
"



XQ整体感觉很不错论颜值，xiaorong那样的才算颜值吧17平均水平还行，不过都太瘦了。撑不起衣服来。




",17战队是绝地颜值最高，身材最好的战队吧？,UcanUup
"



引用3楼 @我是波尔津吉斯 发表的:我4阿妹颜值一队表示不服17粉觉得永远好好看！！！！！4am颜值一队没跑了。肯尼也挺帅！！
发自虎扑iPhone客户端



",17战队是绝地颜值最高，身材最好的战队吧？,可爱不是长久之计我是
"



这次打的已经很好了，败给了天
发自虎扑Android客户端



",一晚上没睡好。 第一次发帖 ，关于17,隐姓埋名王文成
"



过山车般的享受




",作为4am的老铁们来说说近期的感受，我先发为敬,这只橘猫不太肥
"



看到17失落流泪 阿妹喜悦流泪 心情忐忑看到韦神 醒目 和qmc和兽兽哭了 一个是喜悦 一个是懊悔 4am万年老二终究第一 绝境godv爆发翻盘 解说爆炸 比赛效果达到最好 这种震撼相对于lol可以相提并论 这两局的精彩度 包括ob的强大已经让观赛体验达到了最高点 4am从低谷到高峰 只需要一天的时间 17还是如此的稳定 失败绝对是成功的动力 这么年轻的队伍 这么优秀的队员 千万不要气馁 这次证明了自己 一定要好好打接下来的比赛 总有一天你们也会站在上面！ 醒目那句话也成了现实 总有一天你们会站在上面 恭喜4am 并且也要恭喜17 另外 这次比赛sss vta v5 也都成了t1的队伍 我心情很忐忑 想看17去德国搞一下 心疼兽逼 真的不知道我是喜悦哭 还是可惜哭 4am/omg德国赛一定要加油 17一定要在接下来的比赛中再接再厉 加油 大家一起进步！！！来自17/4am粉的一次告白！
发自虎扑iPhone客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,DYg0D
"



本来以为最后一把就是虎扑2大流量队之争！没想到啊持续低迷的ifty没想到ifty最后一把还是掺了一脚，要是ifty当时有雷，如果ifty打赢了，要是4am第三名！那又是另一个结局了！这缘分啊！真的妙不可言！
发自手机虎扑 m.hupu.com



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,呃多k
"



也是造化弄人，4AM苦练的就是FPP，已经大半个月没练TPP了。结果FPP打的一塌糊涂，反而是TPP拿了个冠军。不过实话实说，确实FPP的竞技性更强，TPP只是天命眷顾我4AM啊。




",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,混血九九
"



赛后感受，兄弟们来谈谈。恭喜4am跟OMG双双携手去德国，这次比赛完美落幕，很多精彩，也很多感动。让我们认识很多平常都不怎么注意的战队，给了我们很多的惊喜。不管是谁去，都是代表中国队出赛，还是希望所有的粉丝放下所有的恩怨，一起给中国的代表加油。本人211粉，这次打的太精彩了，超乎我的意料。杀人王211加油，200加油，vv加油，跑男。。。额。。继续马吧。。无所谓！（滑稽脸）祝愿中国代表队获得好成绩，加油。




",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,二月的茉莉花
"



引用13楼 @混血九九 发表的:也是造化弄人，4AM苦练的就是FPP，已经大半个月没练TPP了。结果FPP打的一塌糊涂，反而是TPP拿了个冠军。不过实话实说，确实FPP的竞技性更强，TPP只是天命眷顾我4AM啊。你要说一局是运气也就算了，打了12局，前两名也是公认的强队，还是运气？
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,重拾七
"



引用1楼 @呃多k 发表的:本来以为最后一把就是虎扑2大流量队之争！没想到啊持续低迷的ifty没想到ifty最后一把还是掺了一脚，要是ifty当时有雷，如果ifty打赢了，要是4am第三名！那又是另一个结局了！这缘分啊！真的妙不可言！第二名还是4am，第三名就真的凉了
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,就这样Gray
"



真的好看，最后一局，蝴蝶效应，那一波老哥的停车，死了大惊，给了4am打靶的机会，4am一波肥，马牛逼绕远走的，车没油了，然后直接三辆变一辆，最后圈刷走，无法转移，真的刺激，绝地求生，恭喜4am
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,17_srs
"



PCPI完美闭幕了，个人的一点看法这界吃鸡世界杯中国赛区比赛，不管从队伍整体质量，直播水平，收视率等等绝对是首屈一指的。最大的要求：下次中国能不能多几个名额，40只战队都是正规俱乐部，辛辛苦苦就为了两个名额。要是有3-4个名额，也不用争的头破血流。像KZ，17这样的战队不去德国确实有点可惜。最后祝愿OMG,4AM在德国取得好成绩，为国争光




",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,重拾篮球梦
"



没人给vta感到可惜吗，vta牛逼
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,至尊玉是谁
"



17粉丝恭喜4AM恭喜4AM成功拿到去德国的机票，在德国和omg打出风采，拿下冠军！最后看到兽兽和青木川的样子，真的哭了，希望他们能继续努力，你们还年轻，以后还有机会，17upup
发自虎扑iPhone客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,Bil12
"



有位少年平凡出身却天资卓越，少年成名的他就站在了世界之巅，受到万人追捧，可惜天妒英才，最强之战中回头望月跌落神坛，自此受尽世人的冷眼与嘲笑。天才之名不复的少年走到了人生的十字路口，上帝给了他一个选择：是继续沉沦，还是拿上这把98K？所谓人生不就是，握最锋利的刀刃，走最艰险的道路又一往无前吗？少年眼神坚毅握紧了手中的98K。“大吉大利，今晚吃鸡”（转）
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,沉沦与迷茫
"



总积分第一很厉害了，缺点运气吧，17之后也加油




",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,影子zzzzz
"



从s5到现在，依然还是柏林梅赛德斯奔驰体育场，那个男人，他又回来了！
发自虎扑iPhone客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,独孤皇天
"



从低谷到回暖，再从回暖到稳定，又在稳定中绝境爆发！！！4AM你们不再是被邀请者，从此你们就是最强的，GodVS5失去的，如今梦回S5，德国柏林，加油！柏林，我们相约再见！！！
发自虎扑iPhone客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,隔岸流
"



未来是17的，我们不哭！只是惋惜臭小子们还没出过国，而隔壁4AM已经去过好几次了！不过未来一定是我们的！17UP！你们是最棒的！
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,老伯伯鬼知道
"



那一箭回来了，弓箭变成了98k，小说都不敢这么写
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,叶孤城txtx
"



作为一个17粉，这个结局比20名更难受...希望4个臭小子能早日走出今天的失败，大步向前踏，17upupup最后，恭喜OMG和4AM，希望你们能带着兽兽的梦想，在柏林取得一个好成绩！！！
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,潇洒库罗
"



或许这就是生活吧
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,清浅池水
"



4am的绝地反超！！！果然是大力出奇迹，德国比赛加油💪
发自虎扑iPhone客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,ZOUWANLIN
"



预祝他们取得好成绩。




",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,为佳纯来虎扑
"



不容易！4AM从失落到扬眉吐气
发自虎扑iPhone客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,迷路的盒子精
"



小说剧情 




",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,龙无名
"



最后一场太紧张了。太刺激了。太经典了。恭喜4AM。17可惜了。不过17真的😄强👍。4AM还有很多不足。希望他们能调整过来。去德国争光
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,灼热七月
"



恭喜OMG和4AM！希望他们再接再厉，在德国取得好成绩！不管来的这40支还是没来的战队，你们都是中国队！中国队加油！加油！加油！
发自虎扑Android客户端



",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,法隆二代
"



中国的每只战队都很强.代表中国出战的OMG.4AM.希望在国外能打出你们的风采




",[流言板]PCPI总决赛完美落幕，OMG和4AM战队将代表中国征战PGI全球总决赛,TheDead丶邹
"



dva玩家   
发自虎扑Android客户端



",[精彩回放]PCPI中国区预选赛决赛TPP第二日第三局：4AM_Cpt天秀摩托车，反杀敌人,AIandKI
"



孤存：你们开摩托的时候全是想的这些操作？？
发自虎扑Android客户端



",[精彩回放]PCPI中国区预选赛决赛TPP第二日第三局：4AM_Cpt天秀摩托车，反杀敌人,24Lakersgo
"



先有拳王，后有车王，傻存存以后还是不要开摩托了
发自虎扑Android客户端



",[精彩回放]PCPI中国区预选赛决赛TPP第二日第三局：4AM_Cpt天秀摩托车，反杀敌人,JR丶boom
"



那是真的🐮批




",[精彩回放]PCPI中国区预选赛决赛TPP第二日第三局：4AM_Cpt天秀摩托车，反杀敌人,撰写丶传奇
"



小醒目的摩托车了解一下🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🚛🚛🚛🚛🚛🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍全場最佳摩托車🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🚛🚛🚛🚛🚛🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍全場最佳摩托車🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🚛🚛🚛🚛🚛🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍🏍全場最佳摩托車
发自虎扑iPhone客户端



",[精彩回放]PCPI中国区预选赛决赛TPP第二日第三局：4AM_Cpt天秀摩托车，反杀敌人,黑挥发画会回
"



引用12楼 @24Lakersgo 发表的:孤存：你们开摩托的时候全是想的这些操作？？而我开摩托的时候什么都不想醒醒：其实我也啥都没想，就是蒙的
发自虎扑Android客户端



",[精彩回放]PCPI中国区预选赛决赛TPP第二日第三局：4AM_Cpt天秀摩托车，反杀敌人,我欣依旧
"



孤少：啥？咋了，什么情况？这么激动吗？最后一个人不是我杀的吗？我要跟着激动一下吗？好烦这些b，不提前跟我说一声，我也要一起激动啊！
发自虎扑iPhone客户端



",孤少这么镇定的么？,读书多骗不了我
"



来了来了来了
发自虎扑Android客户端



",孤少这么镇定的么？,ZefirDva
"



反射弧有点长，还是阿鲁最真实，之前龙珠SOLO吃鸡那把这B也是这样。




",孤少这么镇定的么？,MMUSIC
"



引用4楼 @微胖2333 发表的:我感觉有人要发那个大吼的图片了Zszszs这个么？
发自虎扑iPhone客户端



",孤少这么镇定的么？,她老亲我
"



不是说了吗 他跟不上其他三个人节奏




",孤少这么镇定的么？,JoeyZhang159210
"



存存只是被阿鲁扔耳机吓坏了。。。




",孤少这么镇定的么？,Milanne
"



引用38楼 @花开花相随丶 发表的:醒目打了一个之后被击倒，孤少打倒一个然后没子弹了，一对一孤少还有好像还有6发还是9发子弹，倒地的醒目送子弹，然后iftv饶孤少左边被阿鲁击杀。是孤存先与拷人对枪，赢了   然后cpt被大哥  soso集火打倒   孤存又与大哥对枪赢了   剩下9发子弹   双方都不敢打  互卡   cpt火线送子弹   孤存把soso打残    aluka最后收掉    说孤存一穿三   单人灭ifty不过分    这波也是4am最生死存亡的时候    cpt被打倒   韦神在救aluka    如果孤存倒了   非常难说
发自虎扑Android客户端



",孤少这么镇定的么？,神经中的幻想
"



都上嘴了，你跟我说淡定😏
发自虎扑Android客户端



",孤少这么镇定的么？,爱吃金豆的大尾巴
"



把我们小存存吓坏了。




",孤少这么镇定的么？,恋旧的文西
"



孤少:阿鲁这个b为什么扔耳机啊，吓死我了，我要不要也扔呢。。。算了算了，我要保住我的人设不能崩！！
发自虎扑Android客户端



",孤少这么镇定的么？,moonk213
"



这波孤存一穿三  是4am最关键的时候！  没有这波   4am真的出不了线
发自虎扑Android客户端



",孤少这么镇定的么？,神经中的幻想
"



。。因为他没有算分啊，后面韦神告他分绝对够了，孤少也笑得很开心。。。
发自手机虎扑 m.hupu.com



",孤少这么镇定的么？,BadRo
"



存存只是有点含蓄，不知道怎么表达。大家一起闹他也很开心的。
发自虎扑Android客户端



",孤少这么镇定的么？,21槑7
"



引用7楼 @ZefirDva 发表的:来了来了来了我就知道会有这张图片  微博都是猪头跟阿鲁卡卡的  哈哈哈哈




",孤少这么镇定的么？,mmmm4am
"



是真的淡定啊！
发自虎扑iPhone客户端



",孤少这么镇定的么？,只能设置一次的昵称
"



怀念去年刚玩这个游戏时候的16和mini
发自虎扑Android客户端



",新版本降低Scar-L后坐力，削弱战术枪托。Scar-L欲抢夺M4枪王宝座？,不吹不黑瞎胡闹
"



其实再削一下M4就好 死噶本来就行 一加强 又和AK拉开了档次。烂洞还是更考虑玩家体验【毕竟大部分普通人压枪都一般  各种削保持平衡对于游戏体验不行】我倒是一直喜欢死噶 稳，这个版本AK也选。 更想念的是楼上一样  16和迷你。体现技术




",新版本降低Scar-L后坐力，削弱战术枪托。Scar-L欲抢夺M4枪王宝座？,N吧第一人
"



国内第一毫无疑问
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,QQME11
"



希望所有人看过PCPI决赛的观众，记住这四天来的欢笑、激动、撕喊、失望、甚至泪水。

在柏林为OMG和4AM继续加油!
[ 此帖被JoeyZhang159210在2018-06-04 10:48修改 ]




",PCPI可能是国内迄今办的最好的PUBG邀请赛,JoeyZhang159210
"



所以我QM没打好啊，装你信号屏蔽器！
发自手机虎扑 m.hupu.com



",PCPI可能是国内迄今办的最好的PUBG邀请赛,雷达叔叔真好玩
"



run酱：这是我用过的最流畅的电脑了
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,哈哈哈来来来来来来
"



引用3楼 @哈哈哈ho 发表的:。。为啥说是可能不说满，因为说满了有可能遭到其他平台比赛方的嫉妒
发自虎扑iPhone客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,主持人颜思宇
"



残酷的赛制造就经典，saopppp那个关键的1v4，EH全队，据说EH他们都落泪了吧，这样结束太不甘心了




",PCPI可能是国内迄今办的最好的PUBG邀请赛,晨间之雾
"



虎扑人均文豪
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,张小共
"



有点遗憾因为结婚没有完整的看完直播，很庆幸昨晚的最后一场关注了，结婚最好的礼物。
发自虎扑iPhone客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,万千杂说
"



引用2楼 @JoeyZhang159210 发表的:希望所有人看过PCPI决赛的观众，记住这四天来的欢笑、激动、撕喊、失望、甚至泪水。

在柏林为OMG和4AM继续加油!参与的39支战队，每一个人都是一次宝贵的回忆。感谢这次主办方和工作人员，真🐂🍺
发自虎扑iPhone客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,佛za米兰
"



引用10楼 @万千杂说 发表的:有点遗憾因为结婚没有完整的看完直播，很庆幸昨晚的最后一场关注了，结婚最好的礼物。新婚快乐 结婚还看比赛你也是没谁了




",PCPI可能是国内迄今办的最好的PUBG邀请赛,JoeyZhang159210
"



1.从小组到决赛全部线下，这一点注定要甩其他赛事半档到一档2.邀请了国内最顶尖的30多只队伍，虽然有几只混子队，但事实证明混子队第一轮就刷下去了，这又甩开一些闭门造车的平台赛半档到一档3.赛制合理，虽然双败制和积分制各有优劣，但至少拉开很多奇葩赛制半档4.解说、OB、复盘、舞台布置、小细节(比如给17兽过生日)等综合起来又拉开半档到一档5.双冠军直通世界赛，奖金历史最高，所有队伍压榨所有潜力，含金量最少又拉开一档6.对于绝地求生这款游戏自身在国内发展的历史意义来说，我认为香蕉赛和PCPI是两个里程碑，全民赛第一季本有希望成为其中之一，可惜QM作死，PPT模式+奇葩积分+场次过少+平台风波，导致QM赛毫无参考意义，所以这一点上香蕉赛和PCPI又拉开其他赛事一个档次所以说，这个比赛至少拉开香蕉赛两个档次，拉开其他平台赛3-5个档次(以上仅讨论国内比赛)
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,江山入画V
"



五星酒店日均500餐补 有休息室还有零食 比赛结束后的采访集锦复盘穿插使得两场比赛的间隙不会太久，这是做的最好的一点
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,WWWy哥
"



。。为啥说是可能
发自虎扑iPhone客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,哈哈哈ho
"



这次比赛真滴好看    希望IFTY不要气馁 大哥加油   也挺为17惋惜的 真的差那么一点运气  也提前预祝omg 4am在德国能发挥出色 为国争光  当然也为自家的211喝彩 这次打得不错 打出了风采    我想说能打进决赛阶段 的20支战队都是好样的  希望你们再接再厉  人生起起伏伏 不过如此   乘风破浪会有时 直挂云帆济沧海！




",PCPI可能是国内迄今办的最好的PUBG邀请赛,且听枫雨
"



其他的都好，就说两点：1.兜兜很努力，但是终归技术不扎实，采访感觉就是交差，不太好2.OB视角抓的不好，最后一局，4am，17，VTA，当时我记得切到的战况不激烈，而VTA被灭到刷屏，还是不切其他的都是顶级了！




",PCPI可能是国内迄今办的最好的PUBG邀请赛,丶喵喵酱
"



气不气？哈哈哈哈哈哈哈！！！！！！！！
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,vspn小张
"



我觉得不需要这么多，只要两点就确保第一了，一个是双败赛制，一个是无延迟服务器。双败赛制保证了每一天不是新一轮开始，各队从零开始打出一个格局，就是一轮结束，有人欢喜有人忧，也就是每一天都是一个阶段，每一天都有看点。无延迟服务器就不说了，以前比赛幻灯片，拼命撞死队友，看的人很扫兴，觉得冠军也没什么含金量。
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,4everSAS20
"



小组赛的时候导播的表现其实很差的，决赛的时候确实好多了复盘的时候我记得除了5400，另一个复盘的第一次复盘的时候各种卡顿，莫名其妙的东西，后面好像就没看到几次他复盘了解说的话，就昨晚决赛的那组，有个解说是各种口误整体其实很不错了。决赛时候和小组赛时候对比有很明显的进步了




",PCPI可能是国内迄今办的最好的PUBG邀请赛,行山冬
"



引用7楼 @雷达叔叔真好玩 发表的:所以我QM没打好啊，装你信号屏蔽器！qm线上线下差距太大，pcpi之前的还有17，xq，vta，v5，eop这些队伍实力没得到认可，pcpi之后再也没人去怀疑他们的实力了，不过qm的实力打个问号，也不能说他们开科技了，也许可能那一把是真的状态爆棚吧。
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,情话丶丶丶
"



引用6楼 @晨间之雾 发表的:残酷的赛制造就经典，saopppp那个关键的1v4，EH全队，据说EH他们都落泪了吧，这样结束太不甘心了是的，预赛骚皮的那个极限救主也是绝对的经典。
发自虎扑Android客户端



",PCPI可能是国内迄今办的最好的PUBG邀请赛,1197宰蜂蜜
content,topic,userid
0％-100％,关于17昨天最后一局。,家葛愛情
17和大京直接倒的然后4打2而且17没有枪线，估计fire百分之80能灭队17发自虎扑Android客户端,关于17昨天最后一局。,拉菲的feng子
大哥:MMP，原来是你。发自手机虎扑 m.hupu.com,OMG笑容微博:谢谢大家支持，以前组队去狙击过大哥，德国加油。,李李李哈lbj
安慰的了别人却安慰不了自己。。。发自虎扑Android客户端,OMG笑容微博:谢谢大家支持，以前组队去狙击过大哥，德国加油。,我不懂这些道理
这心理调整能力，真心牛啊。加油加油！好好复盘好好总结！柏林赛争取冠军啊！发自虎扑iPhone客户端,OMG笑容微博:谢谢大家支持，以前组队去狙击过大哥，德国加油。,抽象游戏
保前十争前五，最好两队都有鸡。发自虎扑Android客户端,4AM和OMG德国前景觉得能多少名合适,猪头肉三块钱一斤
我是挺看好两支队伍的，都有国际大赛经验，一个是SLi，一个是PGL，而且成绩都不错。OMG前三，4AM前五吧，乐观一下，冠军也不是不可能，嘿嘿。发自虎扑Android客户端,4AM和OMG德国前景觉得能多少名合适,欧阳永叔
引用8楼 @Tracy7911 发表的:Omg保5整3   4am保8争5  还有最最重要的一定要正面碾压韩国日本队！加油哈哈哈，想起了老外评价我们的一句话，“中国人的幸福就是过得比邻居好”,4AM和OMG德国前景觉得能多少名合适,请保持幽默感
这俩都有冲击前五的实力和气势。别背包袱就行。发自虎扑iPhone客户端,4AM和OMG德国前景觉得能多少名合适,抽象游戏
孤少怒喷阿鲁卡~发自虎扑Android客户端,4am能拿冠军，哪个转折点发挥作用最大,默默无语莫
我选1，没有周莉莉的1串4，就没有后来4am的放飞自我，浴血重生的4am发自虎扑iPhone客户端,4am能拿冠军，哪个转折点发挥作用最大,4am小粉丝
保持一个月只有一局掉出前五，说这个队伍弱我是不相信的发自虎扑Android客户端,这次比赛后大家好像产生很多错觉？,我真的不够帅啦
其实是因为这次强队多，而且决赛无延迟，探点的时候如果遇到人就难跑回来了。阿鲁卡以前线上比赛的时候看到人掉头就跑还有一线生机 这个比赛看到房区有人就是一个死字发自虎扑iPhone客户端,这次比赛后大家好像产生很多错觉？,残菊侠
战场无弱者。,这次比赛后大家好像产生很多错觉？,曾二郎
引用6楼 @扩容弹夹 发表的:哦！4am天下无敌！   首先恭喜两支战队！希望能代表中国打出好成绩！    但是没必要开了一贴又一贴的吧？相反，我觉得17的状态更像能出国打比赛的，4am缺陷太多，只能说最后天时地利人和都站在他们这边了发自虎扑iPhone客户端,这次比赛后大家好像产生很多错觉？,毛毛是好人
引用10楼 @毛毛是好人 发表的:相反，我觉得17的状态更像能出国打比赛的，4am缺陷太多，只能说最后天时地利人和都站在他们这边了运气也是实力的一部分！没有实力，天命圈你也站不住！最后4am就是拼命了，四人分开占位，谁倒了基本都没机会救，一直拼到最后！我觉得还是当nc粉比较好，无限相信4am能赢，对于比赛，懂得不多，我也不知道谁更适合，我只知道4am去德国了，剩下的你所说的没输的强队，没去成！（并非口水，因为这种某某没输的言论，球赛里看的太多了，竞技体育，成绩为王，输了就是输了！）发自虎扑Android客户端,这次比赛后大家好像产生很多错觉？,守望上海的孩子
突如其来的骚，闪了我的腰，你咋那么优秀呢？不过发这种帖子，得谨慎！,将各战队和全职里的队做下配比,这只橘猫不太肥
这明明是3S的打法 这局我看过,4AM最后一把用17的打法反超了17,南特流浪
